시도,안전,건강,환경,경제,교육,사회,여가,집값,행복역량지수,군집,아파트매매가
경상북도 칠곡군,0.438 ,0.262 ,0.618 ,0.564 ,0.822 ,0.478 ,0.472 ,0.043 ,0.460 ,5,1560
경상북도 예천군,0.402 ,0.146 ,0.642 ,0.031 ,0.280 ,0.568 ,0.683 ,0.086 ,0.294 ,1,2540
경상북도 봉화군,0.699 ,0.161 ,0.631 ,0.117 ,0.027 ,0.247 ,0.682 ,0.028 ,0.310 ,4,1230
경상북도 울진군,0.358 ,0.054 ,0.618 ,0.316 ,0.199 ,0.676 ,0.558 ,0.026 ,0.295 ,1,1180
경상북도 울릉군,1.000 ,0.188 ,0.766 ,0.568 ,0.300 ,0.810 ,0.641 ,0.000 ,0.526 ,1,600
경상남도 진주시,0.399 ,0.473 ,0.745 ,0.405 ,0.900 ,0.319 ,0.335 ,0.103 ,0.499 ,5,2911
경상남도 통영시,0.362 ,0.240 ,0.595 ,0.362 ,0.850 ,0.225 ,0.425 ,0.074 ,0.384 ,5,2261
경상남도 사천시,0.242 ,0.308 ,0.696 ,0.400 ,0.818 ,0.343 ,0.421 ,0.043 ,0.411 ,5,1579
경상남도 김해시,0.264 ,0.202 ,0.698 ,0.523 ,0.906 ,0.484 ,0.148 ,0.103 ,0.404 ,3,2917
경상남도 밀양시,0.617 ,0.268 ,0.781 ,0.207 ,0.636 ,0.384 ,0.535 ,0.062 ,0.425 ,6,1997
경상남도 거제시,0.252 ,0.116 ,0.525 ,0.601 ,0.617 ,0.356 ,0.199 ,0.071 ,0.333 ,0,2189
경상남도 양산시,0.280 ,0.527 ,0.666 ,0.517 ,0.556 ,0.676 ,0.201 ,0.110 ,0.496 ,3,3079
경상남도 창원시,0.413 ,0.266 ,0.531 ,0.564 ,0.911 ,0.530 ,0.123 ,0.129 ,0.442 ,3,3507
경상남도 의령군,0.573 ,0.455 ,0.857 ,0.123 ,0.461 ,0.396 ,0.815 ,0.014 ,0.474 ,1,920
경상남도 함안군,0.536 ,0.304 ,0.589 ,0.650 ,0.767 ,0.654 ,0.522 ,0.039 ,0.513 ,5,1470
경상남도 창녕군,0.698 ,0.602 ,0.895 ,0.318 ,0.308 ,0.353 ,0.494 ,0.028 ,0.544 ,1,1240
경상남도 고성군,0.704 ,0.436 ,0.804 ,0.323 ,0.622 ,0.225 ,0.415 ,0.040 ,0.497 ,6,1500
경상남도 남해군,0.782 ,0.246 ,0.841 ,0.199 ,0.653 ,0.373 ,0.535 ,0.022 ,0.450 ,6,1100
경상남도 하동군,0.471 ,0.209 ,0.724 ,0.181 ,0.318 ,0.624 ,0.471 ,0.016 ,0.356 ,1,960
경상남도 산청군,0.401 ,0.347 ,0.811 ,0.121 ,0.421 ,0.335 ,0.761 ,0.044 ,0.393 ,1,1600
경상남도 함양군,0.701 ,0.204 ,0.772 ,0.140 ,0.506 ,0.219 ,0.676 ,0.059 ,0.387 ,6,1930
경상남도 거창군,0.439 ,0.215 ,0.800 ,0.180 ,0.818 ,0.572 ,0.484 ,0.061 ,0.406 ,5,1980
경상남도 합천군,0.427 ,0.213 ,0.912 ,0.037 ,0.164 ,0.051 ,0.790 ,0.024 ,0.302 ,4,1130
제주특별자치도 제주시,0.446 ,0.254 ,0.684 ,0.425 ,0.647 ,0.611 ,0.695 ,0.188 ,0.448 ,5,4831
제주특별자치도 서귀포시,0.446 ,0.254 ,0.684 ,0.425 ,0.647 ,0.611 ,0.695 ,0.135 ,0.448 ,5,3635
